Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2023-11-26 11:52:33.877 -0500,"Aborted",0:00:33,1,1,0,"20231126_115233.877/LogFile.txt","","",2
2023-11-26 11:53:34.936 -0500,"Aborted",0:00:19,1,0,0,"20231126_115334.936/LogFile.txt","","",2
2023-11-26 11:54:22.074 -0500,"Failure",0:00:52,1,2,1,"20231126_115422.074/LogFile.txt","","File Not Found -- imagefound Error - Could Not Open Image: HAACP_BatteryIcon_2bar",9
2023-11-26 11:56:04.340 -0500,"Success",0:00:51,0,4,0,"20231126_115604.340/LogFile.txt","","",27
2023-11-26 12:05:16.325 -0500,"Success",0:00:59,0,4,0,"20231126_120516.325/LogFile.txt","","",27
2023-11-26 12:09:32.976 -0500,"Success",0:01:04,0,4,0,"20231126_120932.976/LogFile.txt","","",27
2023-11-26 13:41:14.293 -0500,"Success",0:00:51,0,4,0,"20231126_134114.293/LogFile.txt","","",27
2023-11-26 14:11:38.844 -0500,"Aborted",0:00:15,1,5,0,"20231126_141138.844/LogFile.txt","","",1
2023-11-26 14:12:20.350 -0500,"Success",0:00:51,0,4,0,"20231126_141220.350/LogFile.txt","","",27
2023-11-26 14:26:04.788 -0500,"Success",0:00:51,0,4,0,"20231126_142604.788/LogFile.txt","","",27
2023-11-26 14:35:35.555 -0500,"Success",0:00:51,0,4,0,"20231126_143535.555/LogFile.txt","","",27
2023-11-26 17:56:19.805 -0500,"Aborted",0:00:08,1,2,0,"20231126_175619.805/LogFile.txt","","",1
2023-11-26 17:56:47.957 -0500,"Success",0:00:49,0,4,0,"20231126_175647.957/LogFile.txt","","",27
2023-11-28 13:51:59.500 -0500,"Failure",0:00:46,1,3,1,"20231128_135159.500/LogFile.txt","","Öû·|ÔNæEý^2%*4Ë}2&ûN1õóÿõ4æ«B6ÝhP%±0x",0
2023-11-28 13:53:56.528 -0500,"Aborted",0:01:28,1,3,0,"20231128_135356.528/LogFile.txt","","",21
2023-11-28 13:55:40.398 -0500,"Success",0:08:48,0,9,0,"20231128_135540.398/LogFile.txt","","",22
2023-11-28 14:04:37.014 -0500,"Success",0:01:39,0,4,0,"20231128_140437.014/LogFile.txt","","",27
2023-11-28 14:06:22.928 -0500,"Success",0:01:23,0,4,0,"20231128_140622.928/LogFile.txt","","",27
2023-11-28 14:08:36.981 -0500,"Success",0:01:00,0,4,0,"20231128_140836.981/LogFile.txt","","",27
2023-11-29 10:42:30.126 -0500,"Failure",0:00:00,1,0,0,"20231129_104230.126/LogFile.txt","","VISA Error -- Failed to open connection to device ""USB0::0x2A8D::0x6A01::MY61440146::0::INSTR"" (VI_ERROR_NCIC: Not the controller-in-charge)",0
2023-11-29 10:42:46.526 -0500,"Failure",0:00:00,1,0,0,"20231129_104246.526/LogFile.txt","","VISA Error -- Failed to open connection to device ""USB0::0x2A8D::0x6A01::MY61440146::0::INSTR"" (VI_ERROR_NCIC: Not the controller-in-charge)",0
2023-11-29 10:50:14.455 -0500,"Aborted",0:00:05,1,0,0,"20231129_105014.455/LogFile.txt","","",0
2023-11-29 17:23:09.110 -0500,"Success",0:01:17,0,4,0,"20231129_172309.110/LogFile.txt","","",27
